0,American Airlines,Operating revenue,Operating revenue,"40,419.00","42,650.00","40,990.00"
1,American Airlines,Operating revenue,Passenger,"35,542.00","37,124.00","35,512.00"
2,American Airlines,Operating revenue,Cargo,830,875,760
3,American Airlines,Operating revenue,Others,"4,047.00","4,651.00","4,718.00"
4,American Airlines,Operating costs,Operating costs,"37,840.00","38,401.00","34,786.00"
5,American Airlines,Operating costs,Aircraft fuel,"11,109.00","10,592.00","6,226.00"
6,American Airlines,Operating costs,"Wages, salaries and benefits","7,887.00","8,508.00","9,524.00"
7,American Airlines,Operating costs,Regional expenses,"6,417.00","6,516.00","5,983.00"
8,American Airlines,Operating costs,"Maintenance, materials and repairs","1,927.00","2,051.00","1,889.00"
9,American Airlines,Operating costs,Landing fees and other rentals,"1,699.00","1,727.00","1,731.00"
10,American Airlines,Operating costs,Aircraft rent,"1,336.00","1,250.00","1,250.00"
11,American Airlines,Operating costs,Selling expense,"1,608.00","1,544.00","1,394.00"
12,American Airlines,Operating costs,Depreciation and amortisation,"1,132.00","1,295.00","1,364.00"
13,American Airlines,Operating profit (loss),Operating profit (loss),"2,579.00","4,249.00","6,204.00"
14,American Airlines,Net profit (loss),Net profit (loss),"-1,233.00","2,882.00","7,610.00"
15,American Airlines,Total assets,Total assets,"42,278.00","43,225.00","48,415.00"
16,American Airlines,CASH,CASH,"1,140.00",994,390
17,American Airlines,Total liabilities,Total liabilities,"45,009.00","41,204.00","42,780.00"
0,Delta Air Lines,Operating revenue,Operating revenue,"37,773.00","40,362.00","40,704.00"
1,Delta Air Lines,Operating revenue,Passenger,"32,942.00","34,954.00","34,782.00"
2,Delta Air Lines,Operating revenue,Cargo,937,934,813
3,Delta Air Lines,Operating revenue,Others,"3,894.00","4,474.00","5,109.00"
4,Delta Air Lines,Operating costs,Operating costs,"34,373.00","38,156.00","32,902.00"
5,Delta Air Lines,Operating costs,Aircraft fuel,"9,397.00","11,668.00","6,544.00"
6,Delta Air Lines,Operating costs,Salaries and related costs,"7,720.00","8,120.00","8,776.00"
7,Delta Air Lines,Operating costs,Regional carrier expense,"5,669.00","5,237.00","4,241.00"
8,Delta Air Lines,Operating costs,Aircraft maintenance materials and outside repairs,"1,852.00","1,828.00","1,848.00"
9,Delta Air Lines,Operating costs,Contract services,"1,665.00","1,749.00","1,848.00"
10,Delta Air Lines,Operating costs,Depreciation and amortisation,"1,658.00","1,771.00","1,835.00"
11,Delta Air Lines,Operating costs,Passenger commissions and other selling expenses,"1,603.00","1,700.00","1,672.00"
12,Delta Air Lines,Operating costs,Landing fees and other rents,"1,410.00","1,442.00","1,493.00"
13,Delta Air Lines,Operating costs,Passenger service,762,810,872
14,Delta Air Lines,Operating costs,Profit sharing,506,"1,085.00","1,490.00"
15,Delta Air Lines,Operating costs,Aircraft rent,209,233,250
16,Delta Air Lines,Operating profit (loss),Operating profit (loss),"3,400.00","2,206.00","7,802.00"
17,Delta Air Lines,Net profit (loss),Net profit (loss),"10,540.00",659,"4,526.00"
18,Delta Air Lines,Total assets,Total assets,"52,252.00","54,005.00","53,134.00"
19,Delta Air Lines,Cash and cash equivalents,Cash and cash equivalents,"2,844.00","2,088.00","1,972.00"
20,Delta Air Lines,Total liabilities,Total liabilities,"40,609.00","45,192.00","42,014.00"
0,China Southern Airlines,Operating revenue,Operating revenue,"98,547.00","108,584.00","111,652.00"
1,China Southern Airlines,Operating revenue,Passenger,"88,271.00","97,145.00","100,238.00"
2,China Southern Airlines,Operating revenue,Cargo and mail,"6,413.00","7,183.00","6,861.00"
3,China Southern Airlines,Operating costs,Operating costs,"98,280.00","106,026.00","101,492.00"
4,China Southern Airlines,Operating costs,Fuel,"35,538.00","37,728.00","26,274.00"
5,China Southern Airlines,Operating costs,Aircraft and traffic servicing,"15,091.00","16,402.00","17,908.00"
6,China Southern Airlines,Operating costs,Maintenance,"7,805.00","8,304.00","10,407.00"
7,China Southern Airlines,Operating costs,Promotion and sales,"7,754.00","7,841.00","6,976.00"
8,China Southern Airlines,Operating costs,Operating lease charges,"4,767.00","5,383.00","6,153.00"
9,China Southern Airlines,Operating costs,Flight personnel payroll and welfare,"5,799.00","6,803.00","8,070.00"
10,China Southern Airlines,Operating costs,Depreciation and amortisation,"9,347.00","10,828.00","11,845.00"
11,China Southern Airlines,Operating profit (loss),Operating profit (loss),"1,510.00","4,748.00","13,438.00"
12,China Southern Airlines,Net profit (loss),Net profit (loss),"2,750.00","2,398.00","4,818.00"
13,China Southern Airlines,Total assets,Total assets,"165,207.00","189,688.00","185,989.00"
14,China Southern Airlines,Cash and cash equivalents,Cash and cash equivalents,"11,748.00","15,414.00","4,560.00"
15,China Southern Airlines,Total liabilities,Total liabilities,"122,756.00","145,195.00","136,365.00"
0,FedEx,Total revenue,Total revenue,"27,171.00","27,121.00","27,239.00"
1,FedEx,Total operating costs,Total operating costs,"26,616.00","25,693.00","25,655.00"
2,FedEx,Total operating costs,Salaries and employees benefits,"10,045.00","9,797.00","10,104.00"
3,FedEx,Total operating costs,Fuel,"4,130.00","3,943.00","3,199.00"
4,FedEx,Total operating costs,Purchased transportation,"2,331.00","2,511.00","2,544.00"
5,FedEx,Total operating costs,Rentals and landing fees,"1,684.00","1,705.00","1,693.00"
6,FedEx,Total operating costs,Depreciation and amortisation,"1,350.00","1,488.00","1,460.00"
7,FedEx,Total operating costs,Maintenance and repairs,"1,244.00","1,182.00","1,357.00"
8,FedEx,Operating profit (loss),Operating profit (loss),555,"1,428.00","1,584.00"
0,ExpressJet Airlines,Total operating revenue,Total operating revenue,"3,297.70","3,237.40","3,095.60"
1,ExpressJet Airlines,Total operating revenue,Passenger,"3,239.50","3,168.00","3,030.00"
2,ExpressJet Airlines,Total operating revenue,Ground handling and other,58.2,"69,447.00",65.5
3,ExpressJet Airlines,Total operating costs,Total operating costs,"3,144.60","3,212.60","2,861.00"
4,ExpressJet Airlines,Total operating costs,"Salaries, wages and benefits","1,211.30","1,258.20","1,203.30"
5,ExpressJet Airlines,Total operating costs,"Aircraft maintenance, materials and repairs",686.4,682.8,604.9
6,ExpressJet Airlines,Total operating costs,Aircraft fuel,193.5,193.2,118.1
7,ExpressJet Airlines,Total operating costs,Aircraft rentals,325.4,305.3,273.7
8,ExpressJet Airlines,Total operating costs,Depreciation and amortisation,25,259.6,264.5
9,ExpressJet Airlines,Total operating costs,Station rentals and landing fees,114.7,51,
10,ExpressJet Airlines,Total operating costs,Ground handling services,129.1,123.9,82.7
11,ExpressJet Airlines,Operating profit (loss),Operating profit (loss),153.1,24.8,234.5
12,ExpressJet Airlines,Net profit (loss),Net profit (loss),59,-24.2,117.8
13,ExpressJet Airlines,Total assets,Total assets,"4,233.20","4,409.90","4,802.90"
14,ExpressJet Airlines,"Cash, restricted cash and marketable securities","Cash, restricted cash and marketable securities",670.1,559.1,497.9
15,ExpressJet Airlines,Total liabilities,Total liabilities,"2,798.30","3,009.60","3,296.50"
0,British Airways,Operating revenue,Operating revenue,"18,675.00","20,170.00","22,858.00"
1,British Airways,Operating revenue,Passenger,"16,264.00","17,825.00","20,350.00"
2,British Airways,Operating revenue,Cargo,"1,073.00",992,"1,024.00"
3,British Airways,Operating costs,Operating costs,"17,905.00","18,780.00","20,523.00"
4,British Airways,Operating costs,Employee costs,"4,123.00","4,325.00","4,905.00"
5,British Airways,Operating costs,Fuel and oil costs,"5,951.00","5,987.00","6,082.00"
6,British Airways,Operating costs,"Handling, catering and other operating costs","1,932.00","2,063.00","2,371.00"
7,British Airways,Operating costs,Landing fees and en-route charges,"1,422.00","1,555.00","1,882.00"
8,British Airways,Operating costs,Engineering and other aircraft costs,"1,237.00","1,276.00","1,395.00"
9,British Airways,Operating costs,"Depreciation, amortisation and impairment","1,006.00","1,196.00","1,307.00"
10,British Airways,Operating costs,"Property, IT and other costs",922,927,965
11,British Airways,Operating costs,Selling costs,785,859,912
12,British Airways,Operating costs,Aircraft operating lease,482,551,659
13,British Airways,Operating profit (loss),Operating profit (loss),770,"1,390.00","2,335.00"
14,British Airways,Net profit (loss),Net profit (loss),147,"1,003.00","1,539.00"
15,British Airways,Total assets,Total assets,"20,777.00","23,652.00","28,229.00"
16,British Airways,Cash and cash equivalents,Cash and cash equivalents,"1,541.00","1,528.00","2,909.00"
17,British Airways,Total liabilities,Total liabilities,"16,561.00","19,859.00","22,695.00"
0,Lufthansa,Operating revenue,Operating revenue,"33,033.00","32,228.00","32,176.00"
1,Lufthansa,Operating revenue,Passenger airline group,"23,559.00","23,513.00","23,320.00"
2,Lufthansa,Operating revenue,Logistics,"2,793.00","2,519.00","2,535.00"
3,Lufthansa,Operating revenue,MRO,"4,341.00","4,584.00","4,729.00"
4,Lufthansa,Operating revenue,IT Services,629,676,683
5,Lufthansa,Operating revenue,Catering,"2,604.00","2,619.00","2,733.00"
6,Lufthansa,Operating costs,Operating costs,"31,411.00","31,379.00","31,409.00"
7,Lufthansa,Operating costs,Fuel,"7,392.00","7,058.00","6,751.00"
8,Lufthansa,Operating costs,Staff costs,"6,741.00","7,350.00","7,335.00"
9,Lufthansa,Operating costs,Fees and charges,"5,167.00","5,154.00","5,265.00"
10,Lufthansa,Operating costs,"Depreciation, amortisation and impairment","1,839.00","1,766.00","1,512.00"
11,Lufthansa,Operating profit (loss),Operating profit (loss),839,697,767
12,Lufthansa,Operating profit (loss),Passenger Airline Group,556,495,553
13,Lufthansa,Net profit (loss),Net profit (loss),"1,228.00",313,55
14,Lufthansa,Total assets,Total assets,"28,559.00","29,084.00","30,474.00"
15,Lufthansa,Cash and cash equivalents,Cash and cash equivalents,"1,436.00","1,550.00",953
16,Lufthansa,Total liabilities,Total liabilities,"23,720.00","22,976.00","26,443.00"
0,Emirates Airline,Operating revenue,Operating revenue,"80,717.00","86,728.00","83,500.00"
1,Emirates Airline,Operating revenue,Passenger,"65,405.00","70,013.00","68,029.00"
